Date,Price,Open,High,Low,Change %
6-Mar-19,6.7119,6.7064,6.7201,6.7032,0.06%
5-Mar-19,6.7076,6.7077,6.7085,6.697,0.00%
4-Mar-19,6.7073,6.7086,6.7086,6.6868,0.01%
1-Mar-19,6.7064,6.6943,6.7112,6.6942,0.18%
28-Feb-19,6.6941,6.6876,6.6943,6.679,0.10%
27-Feb-19,6.6872,6.6937,6.6984,6.6783,-0.19%
26-Feb-19,6.7002,6.6893,6.7066,6.6893,0.16%
25-Feb-19,6.6894,6.7167,6.7167,6.6768,-0.37%
22-Feb-19,6.7142,6.7314,6.7368,6.7114,-0.08%
21-Feb-19,6.7198,6.7199,6.7263,6.6887,-0.02%
20-Feb-19,6.7213,6.7374,6.7415,6.7139,-0.55%
19-Feb-19,6.7587,6.7729,6.7825,6.7564,-0.12%
18-Feb-19,6.7667,6.7725,6.7725,6.7526,-0.09%
15-Feb-19,6.773,6.7757,6.7864,6.7684,0.01%
14-Feb-19,6.7721,6.7676,6.7779,6.7583,0.17%
13-Feb-19,6.7604,6.7584,6.7665,6.7506,-0.20%
12-Feb-19,6.774,6.7912,6.7956,6.7661,-0.27%
11-Feb-19,6.7923,6.7435,6.7939,6.7435,0.70%
8-Feb-19,6.7448,6.7448,6.7448,6.7448,0.00%
7-Feb-19,6.7448,6.7448,6.7448,6.7448,0.00%
6-Feb-19,6.7448,6.7448,6.7448,6.7448,0.00%
5-Feb-19,6.7448,6.7448,6.7448,6.7448,0.00%
4-Feb-19,6.7448,6.7448,6.7448,6.7448,0.00%
1-Feb-19,6.7448,6.7005,6.7448,6.7005,0.66%
31-Jan-19,6.7008,6.6996,6.716,6.6955,-0.23%
30-Jan-19,6.7165,6.7354,6.7354,6.7081,-0.24%
29-Jan-19,6.7329,6.7467,6.7554,6.73,-0.18%
28-Jan-19,6.7453,6.7415,6.7459,6.7215,-0.03%
25-Jan-19,6.7473,6.7919,6.793,6.7472,-0.61%
24-Jan-19,6.7885,6.7821,6.8013,6.7793,-0.05%
23-Jan-19,6.792,6.805,6.8058,6.7782,-0.24%
22-Jan-19,6.808,6.7912,6.8112,6.7912,0.15%
21-Jan-19,6.798,6.7966,6.8019,6.7866,0.28%
18-Jan-19,6.779,6.7721,6.7831,6.7693,0.04%
